user_tweet,,
"Be it movies or music, documentaries or dramas, action films or all-time classics, the Soundbar analyses the source and delivers sound that’s optimized for each type of content. Never miss a dialogue or sound again with Smart Sound on the Soundbar. https://t.co/tKU6gfABWm",,
"Yet another record broken. Thanks to your love, #SamsungM31s has easily smashed the record for the highest number of ‘notify me’ requests ever for a smartphone on Amazon India – over 4.5 million!",,
@SamsungIndia Its been a week i have submited my S20 ultra for service but its been a week i have not recevied any msg or call yet from service centre.I NEED DOA OF MY PHONE AS SOON AS POSSIBLE. JUSS IS 3MOTNHS ITS DEAD + NO SERVICE NOW. +91 9769829191 MY,,
"@SamsungIndia I am writing this to bring your attention that I have purchased a Samsung m30s phone for my father in December 2019, and now that the screen stopped working suddenly my father took it to service center as it was under warranty but they are c",,
@SamsungIndia My Samsung tab works even after so many years. Clearly superior. 🤩🤩🤩,,
@SamsungIndia How much,,
@SamsungIndia Love you always Samsung brand,,
@SamsungIndia Successfully booked 6GB+128GB varient !,,
@SamsungIndia Such a wonderful product,,
@SamsungIndia Samsung a30s karidha hu batry problem aari h usme 1 mahina hua h bus liye,,
@SamsungIndia Don't buy Samsung phone plzz guys bcz I bought Samsung Galaxy a21s but this phones stop working in 5 day and service is so bad I can't expect that.,,
"@SamsungIndia I have purchased Samsung galaxy A71 its having some volume problems. What to do,its only a month after purchasing it",,
@SamsungIndia PRICE  N COLOUR NOTE 20 PLZ,,
Worst phone....received defective piece and it’s a long process for return if we book on Samsung official website. They said it will take 15 days.... don’t buy I had a very bad experience for the first time..#cameraproblem #savextechnoloies @SamsungIndia @Samsungserv #galaxym31,,
@SamsungIndia jio Data Speed in your Samsung gets very little. While Oppo Vivo Readmi gets very good speed.your all modals slow Speed jio data my s8 a21 M31s A50 a50s m30 m30s slow speed jio,,
@SamsungMobile @SamsungIndia What about the Samsung M31S that is not available in Amazon prime sake and it is not delivered at any place like hathras agra Aligarh Ghaziabad no delivery available in these areas . Please provide the phone n delivery if poss,,
@Samsung @SamsungIndia Can I get internal part of refrigerator. Model samsung rt27hajsalx-tl,,
@SamsungMobile @Samsung @SamsungIndia सर अभी तक मैं सेमसंग एंड्रोएड मोबाइल खरीदता आया हूँ।लेकिन आज जब मेरे मोबाइल में स्�,,
"@SamsungIndia @SamsungMobile कैसा व्यापारM31तीन दिन में ब्लैकआउट अमेजन ने वापस ले लिया
M30डीलर से लिया 10 दिन मे वैसे ही �",,
"@SamsungIndia legal case will registered soon.. Under section IPC:420.And I have provided you many chance that you are playing with me. So, I gave you more time where you have not resolved my issue.",,
"@SamsungIndia I was always a big fan of your products, but your refrigerators have given us a big pain. Your highly expensive fridges in just 2 years made us spend 20% extra for the parts. I am absolutely disappointed with your refrigerators. Please arran",,
"@SamsungIndia Your brand has associated with a very unprofessional courier service EcomExpress for delivering your product purchased from your official site. I have purchased one Tab S6 lite on 27th July 2020, and it has reached the destination on 31.07.2",,
"@SamsungNewsIN @SamsungIndia Singh sab, pls improve Samsung service in Karnataka",,
@SamsungNewsIN @SamsungIndia Love you always Samsung brand,,
"@SamsungIndia 
hello, how to type in kannada language in samsung M21 mobile. I am unable to see kannada language even after selecting kannada. why??????????",,
Hello @SamsungIndia please cancel my order placed on your website,,
"@SamsungIndia 
Sir
Service request no 4306303293 for fully automatic w/m
I have extended guarantee issued by Saved Technologies pvt ltd for three years .I have paid 3899 (inclGST) .
Service center people say this is not a valid document and that I have to",,
@SamsungIndia @Samsung @SamsungMobile Rencently bought new sansung m31 with high hopes that it will provide good processing speed but my dream didn't come true I am having a nightmare using the phone it's hanging like my mom has manufactured it so that I ,,
@SamsungIndia @SamsungMobile I am facing an issue with my Samsung Galaxy M20 phone. Kindly assist me.,,
@SamsungIndia Team facing major battery issues with my Samsung S9 Plus mobile phone. Any help or suggestion recommended. Will be of great help.,,
@Samsung @SamsungIndia I have bought Samsung Active 2 watch few days back and I am tired of following up with the team to I provide an extra hole in the belt as it doesn't fit me. Have opened multiple tickets with them and every time they close it saying ,,
"@SamsungIndia need to know if the hdfc card offer is available on s10 lite? If yes, how much? Secondly, is s10 lite 128gb yet available? Can I buy it from ur website?",,
@SamsungMobile @SamsungIndia pls fix my note10 home screen hanging issue which I face while unlocking the phone! Thank you . Hope to hear from you on the same soon.,,
"@SamsungIndia @SamsungMobile @Samsung I've submitted my DOA certificate to samsung estore support email, still no response from samsung team, I Am worried that I will not get refund because DOA certificate is only valid for 7 days.",,
@SamsungIndia A51s launch date,,
@SamsungIndia Amazing ❤ love the tab and the note 20 ultra,,
@SamsungIndia Your service center service are so worst i hate your service center employees Ahemdabad,,
@SamsungIndia what a pathetic service my new buds and new s20 are at ur service center from last 2 months and no response from ur side,,
"@SamsungIndia I am not happy with  your product  quality mine note 10 with out any reason suddenly stop charging , customer service center  didn't have required part.",,
I bought my mom a samsung phone a couple of months back and the phone's touch screen has giving me problems since day 1. Service centre refuses to exchange it but repairs it everytime. Still not working. What happened to customer first approach?@SamsungIndia @SamsungMobile,,
Hey @SamsungIndia placed &amp; an order on 22nd July 2020. Order was supposed to be delivered by 4th August 2020. Its not delivered till now and there's no update as well. Can you help?,,
@SamsungIndia I bought a Samsung galaxy m21 4months ago and its got a pink and purplish spot on display which is expanding. No drop and no external damage was done. It was started after charging the phone overnight. DM me to start conversation in detail. ,,
@SamsungIndia The service center Padma Communications(0003424499) at AS Rao Nagar is not providing details for the service parts of bill no 4307099798. They say final bill comes after the job done after taking advance money. https://t.co/bBh2rFUMyz,,
@SumsungMobile @SamsungIndia @SamsungNewsIN @samsung i gave my IN WARRANTY mobile to service center personal on 30-7-2020. now on asking about mobile they give new date every time. worst customer service  @ConsumerReports @consaff @irvpaswan @jagograhakja,,
"@SamsungIndia Hi there!! I have bought a TV from #AnilRadioAndElectricPvtLtd @paytmmallcare @PaytmMall on 21-09-2017 ,and it has mentioned 3 years warranty from the date of buying. But now i am facing an issue with my TV but samsung is not providing servi",,
@SamsungIndia Best Smartphone ever 🔥👌👌👌,,
"@SamsungIndia @Samsung @SamsungUS @SamsungTV 
I had my TV reinstalled on 23rd July 2020, The engineer installed the tv but the Cam Card slot was not working, he checked it, opened it and told me to check the antenna, The antenna signal was checked by the ",,
Ordered a Microwave oven from samsung. They didn't ship it for 12 days and now when I want to cancel it they are not doing it either. My money is totally blocked. Customer care is not responsive at all. @SamsungIndia @Samsung,,
"@SamsungIndia I've always loved Samsung!! ❤❤My first phone was Samsung Galaxy J1.🤩😍 Infact, the first smartphone in my family was Samsung. I've found the user interface very convenient to use ✌and now BTS is endorsing Samsung 💜💜",,
@SamsungIndia Thank you Samsung for powerful btry,,
@SamsungIndia @SamsungIndia Worst after sales service. Service centre deliberately makes mobile out of warranty with flimsy inspection remarks .,,
had our washing machine serviced many times with full satisfaction  but it was very poor and humiliating by the @SamsungIndia @Samsung engineer this time . hope it does not happen again.,,
@SamsungIndia Man I m a fan of note series and always buy a samsung note since I started using an android smart phone. Interestingly this series is so good that if you maintain and use it properly it will last for years I used note 3 for almost 5 yrs now ,,
"My galaxy in my hand. 
Samsung galaxy a50. 
@SamsungMobile 
@SamsungIndia 
Still using it and loving it. 
No plans to change it.
Go for Samaung.",,
"Hi @SamsungIndia  @SamsungTV @Samsung @samsung have purchased a Samsung smart TV on 8th June, within 3 days there was some screen issue and it's not working. It's been a month now no update, no help nothing. Shame on you. I want a proper replacement or else the refund money",,
Your customer support is disgusting. @SamsungMobile @SamsungIndia I need answers to my questions it's been so many days. #boycottsamsung #boycottsamsungsmartphones #shameonsamsung https://t.co/sMrpsXTeOy,,
"Bought #premium product frm #Samsung 2 realize nothin is premium about it. Zflip bought from Dubai in Feb stops workin in June. No response from customer care.@samsungindia
@BRGindia
@samsungmobile
@SamsungIndia i m from pulgaon i purchase headphone of samsung from badnore mobile shopee and at the time of purchasing agent promised to replaced my headphone if headphone was not working and today nikhil badanore and his servant was not behave properly.
@SamsungIndia Sir Meri help kro plz. 9897164685
@SamsungIndia I was promised my delivery on July 21st. ",,
You confused my order id with someone else and marked it as delivered. then apologised, But you've still not sent the TV.,
"Why don't you just give up on the delivery promise and go back to your old mo""",,
@SamsungIndia : the services given by your samsung support is pathetic highly disappointed,,
"@SamsungIndia @Samsung 
Can we play consoles game on samsung the wall I am searching a lot of  for it but I didn't able to know pls I want to know I know it's very weird questions cuz it's obvious that a led OLED qled can run consoles games but the wall i",,
@SamsungIndia I have purchased an M31 mibile. It is getting hanged too much. Very poor performance.,,
@SamsungIndia @SamsungMobile #Samsung a21s i bought this mobile form @filpkart i take this phone on brand value of samsung but now i feel any one froud with me .......,,
@SamsungTV @SamsungIndia @Samsung  Problem in samsung tv panel https://t.co/NcsP1Zwv7l,,
@SamsungMobile Power phone Note 20 😍😍 first look only on fantastic S pen..bronze colour is looking fabulous..108-12-12 camera set-up is killer..display is cool with 120hz..10mp selfie is decent..battery is also decent..IP65👍..classic S pen..Marve,,
"@SamsungIndia @SamsungMobile wat's actually happning.... totaly busted srvc is wat I m getting a impression. ur toll free is alwys bsy lyk its not getting to d IVR evn, ur chat supprt is always bsy &amp; there is no response in 5hrs. Totall disgusting. If",,
"@SamsungMobile @SamsungIndia 
Till now no reply..What should I do if there is any chance to replace this phone..Data disconnect more than 20 times a day.I have purchased it for better quality however it gets worsen after this..Should have purchased Redmi ",,
@SamsungIndia Have GALAXY M31s with Knox Security,,
@SamsungIndia @Samsung worst custmer service. My Refrigerator Is not working properly from last 15 days. I had filled a complaint but they did not solve my issue.warranty is also available.Request u to resolve my issue ASAP or i will take legal action on ,,
"@SamsungIndia Finally I have to mention my concern  here , as facing monitor issue from time i purchased and till date 3 time panel replaced and despite not being satified and techician confirming the same but they close my docket and new 4307043250 has t",,
"Hello @SamsungIndia why u are unable to assign some more executive in samsung care store in jagat farm Greater noida?
It been 2 hours since I am waiting in queue &amp; still waiting. 
DISGUSTING!!!",,
