,Review,Polarity
0,inch advance smart pros sound quality awesome w speaker connectivity good budget product user interface good clarity good non source videos cons instead alexa bixby voice control activated not upto mark cant able change aspect ratio vice versa constant depending service provider changed optical connector surrounding system not normal audio jack pin overall,Positive
1,like picture quality superb sd channel looks like hd issue love smart mirror option smooth connection mobile sound quality good think dis price range good choice luv u samsung,Positive
2,tv continuously blinks every min service engineers stats issue set top box using set top box previous led tv aswell never faced issue looks like issue defect tv connecting sd set top boxits sad service engineers not accepting defect tv going buy new hd set top box check sad written tv works hd connections,Neutral
3,product good service engineer mr santosh prasad rude lack knowledge hanged tv not tell operate stated u read mannual not job im unsatisfied sansung service give star services provided samsung,Neutral
4,led tv smart option picture quality worst would say yes sound output good see character strip shirt something like picture image would shaky would hurt eyes sell day loss thousand amazon not hv return policy please read return terms conditions purchasing ur looking low budget tv smart options please go ahead,Neutral
5,lots research found best one hd ready u see pixelated u r close apps working fine without lag even p quality youtube videos look good play high quality videos using govt cable tv setup box make sure cable connections good use av cable connect ur setup box tv highly recommend use hdmi cable get good audio video quality seen difference well posted using tizum terabyte cable later rupees bluetooth remote also extremely useful u use urs mobile app also share control tv,Positive
6,blutooth connectivity claimed product description video quality also poor,Negative
7,tv picture quality expected received tv speakers lasted hours post stopped working raised ticket samsung dealer closed ticket stating called response lie later days passed one good engineer came respectful man mentioned replace mother board days get know pasts not stock refund amount post deprecation cause loss customer time waste unwanted stress blamed lockdown tv stock looks like failer model samsung real pain begins samsung ready refund invoice amount form samsung cupon buy samsung products samsung plaza stock inches service team calling adding pressure stating need tv back replacement cash back stock samsung plaza customers money hard fast rule buy samsung like fooling daylight highly disappointed never samsung,Neutral
8,facing issue tv get automatically switch comes couple secs happening frequently would suggest please purchase tv samsung confirms resolved issue,Neutral
9,many features missing tried return said returned wud demages possible not happy product,Neutral
10,third led tv one best price compare price features comparatively good like dislikes itpros high quality pictures video seamless video streaming netflix amazon hotstar youtube many music player customisable inbuilt amplifier options super loud sound till playing volume max dare neighbour kick gb storage space allows lots application installation tv hdmi ports usb ports connectivity options included hdmi wifi connect various gadgets laptop using hdmi port bluetooth access cloud bring work big screen alexa bixby inbuilt voice search options interface user friendly hours get know tv customer service excellent installation done hr delivery checked thoroughly installing provide full demo cloud option gaming one best featurecons limited number apps favourite apps install like amazon music per websites available soon app get tv content either paid unpaid fan cable content definitely need satellite tv connection options facing issue screen sharing not detected phone disconnect screen sharing tv neighborhood visible screen sharing reboot able connect,Positive
