,Review,Polarity
0,inch advance smart pros sound quality awesome w speaker connectivity good budget product user interface good clarity good non source videos cons instead alexa bixby voice control activated not upto mark cant able change aspect ratio vice versa constant depending service provider changed optical connector surrounding system not normal audio jack pin overall,Positive
1,like picture quality superb sd channel looks like hd issue love smart mirror option smooth connection mobile sound quality good think dis price range good choice luv u,Positive
2,tv continuously blinks every min service engineers stats issue set top box using set top box previous led tv aswell never faced issue looks like issue defect tv connecting sd set top boxits sad service engineers not accepting defect tv going buy new hd set top box check sad written tv works hd connections,Neutral
3,product good service engineer mr santosh prasad rude lack knowledge hanged tv not tell operate stated u read mannual not job im unsatisfied sansung service give star services provided,Neutral
4,led tv smart option picture quality worst would say yes sound output good see character strip shirt something like picture image would shaky would hurt eyes sell day loss thousand amazon not hv return policy please read return terms conditions purchasing ur looking low budget tv smart options please go ahead,Neutral
5,lots research found best one hd ready u see pixelated u r close apps working fine without lag even p quality youtube videos look good play high quality videos using govt cable tv setup box make sure cable connections good use av cable connect ur setup box tv highly recommend use hdmi cable get good audio video quality seen difference well posted using tizum terabyte cable later rupees bluetooth remote also extremely useful u use urs mobile app also share control tv,Positive
6,blutooth connectivity claimed product description video quality also poor,Negative
7,tv picture quality expected received tv speakers lasted hours post stopped working raised ticket samsung dealer closed ticket stating called response lie later days passed one good engineer came respectful man mentioned replace mother board days get know pasts not stock refund amount post deprecation cause loss customer time waste unwanted stress blamed lockdown tv stock looks like failer model samsung real pain begins samsung ready refund invoice amount form samsung cupon buy samsung products samsung plaza stock inches service team calling adding pressure stating need tv back replacement cash back stock plaza customers money hard fast rule buy like fooling daylight highly disappointed never samsung,Neutral
8,facing issue tv get automatically switch comes couple secs happening frequently would suggest please purchase tv samsung confirms resolved issue,Neutral
9,many features missing tried return said returned wud demages possible not happy product,Neutral
10,third led tv one best price compare price features comparatively good like dislikes itpros high quality pictures video seamless video streaming netflix amazon hotstar youtube many music player customisable inbuilt amplifier options super loud sound till playing volume max dare neighbour kick gb storage space allows lots application installation tv hdmi ports usb ports connectivity options included hdmi wifi connect various gadgets laptop using hdmi port bluetooth access cloud bring work big screen alexa bixby inbuilt voice search options interface user friendly hours get know tv customer service excellent installation done hr delivery checked thoroughly installing provide full demo cloud option gaming one best featurecons limited number apps favourite apps install like amazon music per websites available soon app get tv content either paid unpaid fan cable content definitely need satellite tv connection options facing issue screen sharing not detected phone disconnect screen sharing tv neighborhood visible screen sharing reboot able connect,Positive
11,though many tv options less price preferred chose samsung standard brand product not satisfactorycons sound system isnt good keep reducing volume bgms sounds actual speach doesnt fit types home theatre playstore might missed see buying,Positive
12,picture quality good sound great bluetooth connectivity problem bluetooth speakers f sometimes not able transfer audio need delete repair speaker casting good samsung mobile one mi note not able pair one auto backup features good sometimes not run automatically need start manually copy data sometimes copies data multiple times create multiple copies file usb two voice assistants bixby alexa working connected internet android tv google assistant works offline overall tv good price range,Positive
13,best tv rupees brilliant sound output installation easy user interface good expect super fluid interface like android price great great picture quality connect proper hd dish connection superb picture quality great build quality good finishing colour opted grey colour looking pemuim provided remote simple useful featured buttons overall best tv rs big thanks samsung awesome budget tv thing like packaging hope amazon take proper care packaging,Positive
14,good led tv price range first ever review amazon please buy tv like mi motorola vu etc purely chinese made tv like tv purely performs picture sound segment dth well tv outperforms equivalent tv blindly go boots within seconds sd channel looks like hd channels mirroring super fine rest assured require external speaker even sound like home theatre one year additional warranty samsung definetly thwart chinese brands market,Positive
15,inch samsung smart tv complete failure became mute second day waiting week amazon replace refund initially schedulded technician visit aug postponed th return window closes th place contact mail phone call center web site messages confirm receipt customer complaint not even publishing genuine review grievances public benefit feel cheated,Neutral
16,best tv nice purchase good quality specification tizen store applications not available enough purchased rs best price best company alexa working well sound quality best w good enough picture quality awesome clear crispy new model remote,Positive
17,hi amazon samsung tv good excellent picture quality hd channels well sound quality also bluetooth optional available mm audio output jack available availble optical digital output audio tv build quality also good finally loved new series samsung tv voice search television section samsung sony companies top samsung always samsung body wants purchase please go think hesitate thank amazon samsung,Positive
18,big mistake buying amazon arrival th day tv stopped working called samsung engineer visited informed faulty piece asked samsung replace asked us contact bought tv tats amazon contacted amazon denying help furthernever buy electronics amazon,Neutral
19,got defective product display not working installation tried called amazon support support not taking responsibility replace return item,Neutral
20,last write comment regarding first bad experience amazon bought tv last month n remote stopped working days put complain two times n called engineer also came time complaim didnt solved didnt repaire remote still status complain putting repairing completed come lie like irritating n man called engineer came us first telling problem tv asked u remote kindly check said problem remote order u n let u know rubbish didnt got revert repairing remote bitting table illiterate bad behaviour towards thing ehich related somebody,Neutral
21,smart tv samsung affordablenetflix prime zee youtube amazon primetakes bit time boot bluetooth not supported sound quality pictures quality everything goodpaid,Positive
22,good tv price interesting thing works well apple tv,Positive
23,buy samsung tv use amazon online shopping whole experience rather nightmare bought tv brightness issues tv screen dull even max brightness reported amazon arranged tech visit th aug never happened wasted whole day visit rearranged th tech came saw issue agreed restarted updated tv still issue enquired agree issue said yes evening called customer support got info system issue updated tech firm resolved dejected felt cheated many hours calls able get call transferred managers times amazon disconnected call kept sending messages feedback system first visit resolved issue one customer care executives told supposed get report written tech not gave not tell buy product even want buy flipkart samsung amazon degraded quality beware tech company qdigi ones responsible tech visits read reviews know whats funny amzon still letting work,Neutral
24,writing review week usage not fond cable provides many unwanted channels completely wonder entertainment usingwifi connection good preloaded zee netflix youtube else require prompt delivery free installation makes feel happy samsung cos found watt speaker op yes alternate solutions,Positive
25,tv faulty item quality product produces buzzing sound sound stops every hour seller shipped faulty item needs resolved amazon since tv bought amazon com not via samsumg contacted customer support agents not helpful not want file report seller since shipping quality product mins back forth via phone call leadership team amazon filed voice customer form hard wrap head around fact amazon guys shipping quality product supporting sellers making customers run pillar post seller platform amazon stand harassing customers false advertisement amazon guys talk seller matter solved agent not even ready report seller kept telling talk samsung executives amazon not paying heed anything making money fat bonuses false advertisement making customers unhappy fault,Neutral
26,samsung tape samsung tv box doubt original tv received not,Positive
27,goods good picture quality w speaker output good enough mid size room fast installation note wall mount not come box brought installation engineer easy set samsung phone users smart view makes casting screen easy bads call samsung installation not happen default reason less star prime app slow keeping watch shut twice,Positive
